session_index,condition_index,alpha_index,file_name,trial_name
1,1,32,Roman_Visible_Cue_LeftToRight_0,Roman_Visible_Cue_LeftToRight0000
2,1,4,Roman_Occlusion_Cue_LeftToRight_0,Roman_Occlusion_Cue_LeftToRight0000
3,1,13,Roman_Occlusion_Cue_RightToLeft_0,Roman_Occlusion_Cue_RightToLeft0000
4,2,5,Roman_Occlusion_Cue_LeftToRight_1,Roman_Occlusion_Cue_LeftToRight0001
5,2,33,Roman_Visible_Cue_LeftToRight_1,Roman_Visible_Cue_LeftToRight0001
6,1,46,Roman_Visible_NoCue_LeftToRight_0,Roman_Visible_NoCue_LeftToRight0000
7,1,59,Roman_Visible_NoCue_RightToLeft_SHORT_0,Roman_Visible_NoCue_RightToLeft_SHORT0000
8,1,19,Roman_Occlusion_NoCue_LeftToRight_0,Roman_Occlusion_NoCue_LeftToRight0000
9,1,39,Roman_Visible_Cue_RightToLeft_0,Roman_Visible_Cue_RightToLeft0000
10,2,40,Roman_Visible_Cue_RightToLeft_1,Roman_Visible_Cue_RightToLeft0001
11,1,53,Roman_Visible_NoCue_RightToLeft_0,Roman_Visible_NoCue_RightToLeft0000
12,1,25,Roman_Occlusion_NoCue_RightToLeft_0,Roman_Occlusion_NoCue_RightToLeft0000
13,2,20,Roman_Occlusion_NoCue_LeftToRight_1,Roman_Occlusion_NoCue_LeftToRight0001
14,2,54,Roman_Visible_NoCue_RightToLeft_1,Roman_Visible_NoCue_RightToLeft0001
15,1,10,Roman_Occlusion_Cue_LeftToRight_SHORT_0,Roman_Occlusion_Cue_LeftToRight_SHORT0000
16,1,30,Roman_Occlusion_NoCue_RightToLeft_SHORT_0,Roman_Occlusion_NoCue_RightToLeft0001
17,2,2,Roman_Occlusion_NoCue_RightToLeft_1,Roman_Occlusion_NoCue_RightToLeft0002
18,2,47,Roman_Visible_NoCue_LeftToRight_1,Roman_Visible_NoCue_LeftToRight0001
19,1,3,Roman_Visible_Cue_LeftToRight_SHORT_0,Roman_Visible_Cue_LeftToRight0002
20,2,1,Roman_Occlusion_Cue_RightToLeft_1,Roman_Occlusion_Cue_RightToLeft0001
21,1,52,Roman_Visible_NoCue_LeftToRight_SHORT_0,Roman_Visible_NoCue_LeftToRight_SHORT0000
22,3,6,Roman_Occlusion_Cue_LeftToRight_2,Roman_Occlusion_Cue_LeftToRight0002
23,3,14,Roman_Occlusion_Cue_RightToLeft_2,Roman_Occlusion_Cue_RightToLeft0002
24,3,34,Roman_Visible_Cue_LeftToRight_2,Roman_Visible_Cue_LeftToRight0003
25,3,21,Roman_Occlusion_NoCue_LeftToRight_2,Roman_Occlusion_NoCue_LeftToRight0002
26,3,55,Roman_Visible_NoCue_RightToLeft_2,Roman_Visible_NoCue_RightToLeft0002
27,4,22,Roman_Occlusion_NoCue_LeftToRight_3,Roman_Occlusion_NoCue_LeftToRight0003
28,4,56,Roman_Visible_NoCue_RightToLeft_3,Roman_Visible_NoCue_RightToLeft0003
29,3,48,Roman_Visible_NoCue_LeftToRight_2,Roman_Visible_NoCue_LeftToRight0002
30,2,11,Roman_Occlusion_Cue_LeftToRight_SHORT_1,Roman_Occlusion_Cue_LeftToRight_SHORT0001
31,1,18,Roman_Occlusion_Cue_RightToLeft_SHORT_0,Roman_Occlusion_Cue_RightToLeft_SHORT0000
31,4,35,Roman_Visible_Cue_LeftToRight_3,Roman_Visible_Cue_LeftToRight0004
33,3,41,Roman_Visible_Cue_RightToLeft_2,Roman_Visible_Cue_RightToLeft0002
34,4,49,Roman_Visible_NoCue_LeftToRight_3,Roman_Visible_NoCue_LeftToRight0003
35,4,42,Roman_Visible_Cue_RightToLeft_3,Roman_Visible_Cue_RightToLeft0003
36,3,26,Roman_Occlusion_NoCue_RightToLeft_2,Roman_Occlusion_NoCue_RightToLeft0003
37,1,45,Roman_Visible_Cue_RightToLeft_SHORT_0,Roman_Visible_Cue_RightToLeft0004
38,4,7,Roman_Occlusion_Cue_LeftToRight_3,Roman_Occlusion_Cue_LeftToRight0003
39,4,15,Roman_Occlusion_Cue_RightToLeft_3,Roman_Occlusion_Cue_RightToLeft0003
40,4,27,Roman_Occlusion_NoCue_RightToLeft_3,Roman_Occlusion_NoCue_RightToLeft0004
41,5,16,Roman_Occlusion_Cue_RightToLeft_4,Roman_Occlusion_Cue_RightToLeft0004
42,5,50,Roman_Visible_NoCue_LeftToRight_4,Roman_Visible_NoCue_LeftToRight0004
43,2,38,Roman_Visible_Cue_LeftToRight_SHORT_1,Roman_Visible_Cue_LeftToRight0005
44,5,8,Roman_Occlusion_Cue_LeftToRight_4,Roman_Occlusion_Cue_LeftToRight0004
45,5,28,Roman_Occlusion_NoCue_RightToLeft_4,Roman_Occlusion_NoCue_RightToLeft0005
46,2,31,Roman_Occlusion_NoCue_RightToLeft_SHORT_1,Roman_Occlusion_NoCue_RightToLeft0006
47,6,9,Roman_Occlusion_Cue_LeftToRight_5,Roman_Occlusion_Cue_LeftToRight0005
48,5,23,Roman_Occlusion_NoCue_LeftToRight_4,Roman_Occlusion_NoCue_LeftToRight0004
49,6,29,Roman_Occlusion_NoCue_RightToLeft_5,Roman_Occlusion_NoCue_RightToLeft0007
50,5,36,Roman_Visible_Cue_LeftToRight_4,Roman_Visible_Cue_LeftToRight0006
51,5,43,Roman_Visible_Cue_RightToLeft_4,Roman_Visible_Cue_RightToLeft0005
52,6,51,Roman_Visible_NoCue_LeftToRight_5,Roman_Visible_NoCue_LeftToRight0005
53,6,17,Roman_Occlusion_Cue_RightToLeft_5,Roman_Occlusion_Cue_RightToLeft0005
54,6,37,Roman_Visible_Cue_LeftToRight_5,Roman_Visible_Cue_LeftToRight0007
55,3,12,Roman_Occlusion_Cue_LeftToRight_SHORT_2,Roman_Occlusion_Cue_LeftToRight_SHORT0002
56,2,60,Roman_Visible_NoCue_RightToLeft_SHORT_1,Roman_Visible_NoCue_RightToLeft_SHORT0001
57,6,24,Roman_Occlusion_NoCue_LeftToRight_5,Roman_Occlusion_NoCue_LeftToRight0005
58,5,57,Roman_Visible_NoCue_RightToLeft_4,Roman_Visible_NoCue_RightToLeft0004
59,6,58,Roman_Visible_NoCue_RightToLeft_5,Roman_Visible_NoCue_RightToLeft0005
60,6,44,Roman_Visible_Cue_RightToLeft_5,Roman_Visible_Cue_RightToLeft0006
